,tweet,label
0,Sip N Shop Come thru right now #Marjais #PopularNobodies #MMR 🙌🙌🙌🙌 @ Marjais SipNShop http://t.co/JfWAH7uzWE,0
1,I don't know about you but My family and I will not take the #Covid19 vaccine anytime soon...,1
2,"@MSignorile Immunizations should be mandatory. Period. In Oklahoma, they won't let kids go to school without them. It's dangerous otherwise!",2
3,"President Obama spoke in favor of vaccination for children. Fox will start telling its viewers to ""choose"" against vaccination in 3,2,1...",0
4,"""@myfoxla: Arizona monitoring hundreds for measles linked to Disneyland http://t.co/tEoU2zAQat"" It's a Small World After All.",0
5,Why did I get my whooping cough vaccine the same day I bring my baby home? I can't even lift my 5lb dog with that arm! #imweak,2
6,Prosecutor Ken Ervin: I want to know how recklessly killing an individual fell under the scope of his federal immunity.,0
7,"""@UberFacts: On average, people who complain live longer -- Releasing this tension increases immunity &amp; boosts their health.""reason I do ;)",0
8,The legacy of @JennyMcCarthy will be she took her clothes off for $$ and contributed to getting kids killed. #VaccinateYourKids,2
9,"“@UberFacts: On average, people who complain live longer -- Releasing this tension increases immunity and boosts their health.” Yeah TCA F U",0
10,No #economy without a #Covid19 #vaccine.  So fingers crossed. 🤞🤞 https://t.co/6HC9DuSTbV,2
11,More than 230 Noblesville students not immunized against measles -Fox 59 http://t.co/tmZRTIeq #Clare #Noblesville #IN,0
12,“@TODAYshow: Slap on a flu patch? New vaccine would skip the needle http://t.co/0GXA2a67Jj”.  Can't ever poison yourself to health.,2
13,@UKProgressive A child can have a lethal reaction to a vaccine. This was Bachmann at her human best.,1
14,"@jonathanwalsh_ Not shocked.  It's horribly bad for you.  Like, not vaccinating your kids for measles.",2
15,The White House declined to buy more of the Pfizer vaccine. Here’s where it could go instead. https://t.co/XdFAdSPM7u,0
16,MMR is safe - tell your friends. http://t.co/hNKLJQCV,2
17,Measles http://t.co/7i4pQDi0It,0
18,"“@CarreyOnSecurty: VACCINES ARE LIKE VIRUS DEFINITIONS
WOULD YOU PUT SOMETHING FROM SYMANTEC IN YOUR KIDS” Caps, misspelled. Sounds legit",1
19,"@miagarciafox10 Listen 2 ur doc Mia.Our bodies dvlop immunity thru grms.In 40's&amp;50's,rich kids more likely 2get polio thn poor,bc homes clnr",0
20,""" Vaccine-preventable diseases, such as pertussis, are making a comeback in the United States."" Children die from these.",2
21,"@yurikageyama Speaking of hard work, I would enjoy your critique of my story on our campus' readiness for #measles. http://t.co/vbQgQSKY3a.",0
22,I want to do something that the kids consider hip. Are vaccinations in?,0
23,".@knowmedge HPV, which is why Australia's provision of the Gardasil vaccine to all of our children is so great!",2
24,"“@UberFacts: On average, people who complain live longer -- Releasing this tension increases immunity and boosts their health.” #word",0
25,"Austerity is not a Vaccine to Crisis... It is a Parasite with Pandemic Potential! It Drains Life, Killing Slowly! #OccupyColumbus",0
26,Illinois says 11 now diagnosed with measles: Illinois public health officials are now reporting 11 people have… http://t.co/wzYBr9VyYa,0
27,#vaccinations do your research from actual medical journals! Andrew Wakefield is a moron &amp; skewed his results! #Fact http://t.co/Ui1WNu6JFU,2
28,@highendfashion1 @crowguye @steveolivas ummmm it has always been MMR.,0
29,"Good News at last... A big thanks to Pfizer and BioNTech for developing a COVID-19 vaccine that is found to be 90% effective in preventing people from getting the virus... Slowly but surely, we’re getting there.",2
30,It Fits @RumorsDc #mmr #mixmasterrod #RumorsDc  #follow  @ MixMasterRod's Rumor Dj Booth http://t.co/16kYScBA,0
31,The anti-vaccine argument is that doctors and pharmaceutical companies have a profit motive themselves,0
32,"Nooo, this sucks! @UberFacts: On avg, ppl who complain live longer-releasing tension increases immunity, boosts health #BetterLateThanNever",0
33,Vaccinating your kids isn't like showering regularly or doing your taxes. It's mandatory.,2
34,#CHAMPAGNESHOWERVIDEO! @ManyMenRecords @ALLOUT201 @DibiasiMB @TaylorPort_MMR @pdotMMR @DEASTWOODMMR @illanoise201 http://t.co/eFHgu0Dl #MMR,0
35,"""@UberFacts: On average, people who complain live longer -- Releasing this tension increases immunity and boosts their health."" I will live",0
36,Second measles case confirmed in Denver: DENVER — A second measles case in the metro Denver area has been... http://t.co/ObIn88FEdN,0
37,""" Got That #FOD2 🙌🙌 Make Sure Y'all Hit @allout201 For A Copy #GMF #MMR #Classic "" @ Myrtle &amp; Jackson http://t.co/dCsgt4F01n",0
